v8-version,7,1,302,31,0
code-creation,Builtin,3,1715,0x55ecbd4ee300,1364,RecordWrite
code-creation,Builtin,3,1725,0x55ecbd4ee860,44,AdaptorWithExitFrame
code-creation,Builtin,3,1730,0x55ecbd4ee8a0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1735,0x55ecbd4ee8e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1739,0x55ecbd4ee9e0,172,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1744,0x55ecbd4eeaa0,229,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1749,0x55ecbd4eeba0,254,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1754,0x55ecbd4eeca0,130,CallBoundFunction
code-creation,Builtin,3,1758,0x55ecbd4eed40,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1763,0x55ecbd4eedc0,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1767,0x55ecbd4eee40,105,Call_ReceiverIsAny
code-creation,Builtin,3,1771,0x55ecbd4eeec0,960,CallProxy
code-creation,Builtin,3,1775,0x55ecbd4ef2a0,78,CallVarargs
code-creation,Builtin,3,1779,0x55ecbd4ef300,1336,CallWithSpread
code-creation,Builtin,3,1783,0x55ecbd4ef840,948,CallWithArrayLike
code-creation,Builtin,3,1787,0x55ecbd4efc00,103,CallForwardVarargs
code-creation,Builtin,3,1791,0x55ecbd4efc80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,1796,0x55ecbd4efd00,26,ConstructFunction
code-creation,Builtin,3,1800,0x55ecbd4efd20,130,ConstructBoundFunction
code-creation,Builtin,3,1804,0x55ecbd4efdc0,28,ConstructedNonConstructable
code-creation,Builtin,3,1808,0x55ecbd4efde0,86,Construct
code-creation,Builtin,3,1812,0x55ecbd4efe40,78,ConstructVarargs
code-creation,Builtin,3,1816,0x55ecbd4efea0,1360,ConstructWithSpread
code-creation,Builtin,3,1820,0x55ecbd4f0400,1028,ConstructWithArrayLike
code-creation,Builtin,3,1825,0x55ecbd4f0820,142,ConstructForwardVarargs
code-creation,Builtin,3,1829,0x55ecbd4f08c0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1834,0x55ecbd4f0960,288,JSConstructStubGeneric
code-creation,Builtin,3,1838,0x55ecbd4f0aa0,164,JSBuiltinsConstructStub
code-creation,Builtin,3,1842,0x55ecbd4f0b60,685,FastNewObject
code-creation,Builtin,3,1846,0x55ecbd4f0e20,327,FastNewClosure
code-creation,Builtin,3,1850,0x55ecbd4f0f80,227,FastNewFunctionContextEval
code-creation,Builtin,3,1855,0x55ecbd4f1080,227,FastNewFunctionContextFunction
code-creation,Builtin,3,1859,0x55ecbd4f1180,238,CreateRegExpLiteral
code-creation,Builtin,3,1864,0x55ecbd4f1280,686,CreateEmptyArrayLiteral
code-creation,Builtin,3,1868,0x55ecbd4f1540,1396,CreateShallowArrayLiteral
code-creation,Builtin,3,1872,0x55ecbd4f1ac0,1320,CreateShallowObjectLiteral
code-creation,Builtin,3,1877,0x55ecbd4f2000,968,ConstructProxy
code-creation,Builtin,3,1881,0x55ecbd4f23e0,104,JSEntryTrampoline
code-creation,Builtin,3,1885,0x55ecbd4f2460,104,JSConstructEntryTrampoline
code-creation,Builtin,3,1889,0x55ecbd4f24e0,278,ResumeGeneratorTrampoline
code-creation,Builtin,3,1894,0x55ecbd4f2600,14,InterruptCheck
code-creation,Builtin,3,1898,0x55ecbd4f2620,14,StackCheck
code-creation,Builtin,3,1902,0x55ecbd4f2640,679,StringCharAt
code-creation,Builtin,3,1906,0x55ecbd4f2900,834,StringCodePointAtUTF16
code-creation,Builtin,3,1910,0x55ecbd4f2c60,838,StringCodePointAtUTF32
code-creation,Builtin,3,1914,0x55ecbd4f2fc0,588,StringEqual
code-creation,Builtin,3,1918,0x55ecbd4f3220,268,StringGreaterThan
code-creation,Builtin,3,1922,0x55ecbd4f3340,268,StringGreaterThanOrEqual
code-creation,Builtin,3,1927,0x55ecbd4f3460,1036,StringIndexOf
code-creation,Builtin,3,1931,0x55ecbd4f3880,268,StringLessThan
code-creation,Builtin,3,1935,0x55ecbd4f39a0,268,StringLessThanOrEqual
code-creation,Builtin,3,1939,0x55ecbd4f3ac0,194,StringRepeat
code-creation,Builtin,3,1943,0x55ecbd4f3ba0,3374,StringSubstring
code-creation,Builtin,3,1947,0x55ecbd4f48e0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,1952,0x2f89d8107f40,665,InterpreterEntryTrampoline
code-creation,Builtin,3,1956,0x55ecbd4f4940,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,1961,0x55ecbd4f49a0,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,1966,0x55ecbd4f4a00,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,1976,0x55ecbd4f4a60,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,1981,0x55ecbd4f4ac0,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,1986,0x55ecbd4f4b20,84,InterpreterPushArgsThenConstructWithFinalSpread
